id;lat;lon;name;description;review;image
1;40.9180920;20.7720678;Љубаништа;Плажа која е дел од автокамп Љубаништа;4,63;https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Wild_beach-selo_Ljubanista_Ohrid.jpg/420px-Wild_beach-selo_Ljubanista_Ohrid.jpg
2;40.9605173;20.7830495;Трпејца;Плажа во рибарското село Трпејца;4,73;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Lake_Ohrid_near_Trpejca.jpg/1280px-Lake_Ohrid_near_Trpejca.jpg
3;41.0178400;20.8104255;Пештани;Плажа во село Пештани;4,27;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Galicica_to_east_coast.jpg/375px-Galicica_to_east_coast.jpg
4;41.1123610;20.7961416;Куќа на Робевци;Оригинално изградена во 1825 година од архитектот Тодор Петко, денес куќата на Робевци е споменик на културата под грижа на Заводот за заштита на спомениците на културата и Народен музеј во Охрид и во кој се сместени Археолошкиот музеј, етнолошката поставка, фонд на предмети од семејството Робевци и дела на охридската резбарска школа. ;4,93;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/%D0%9A%D1%83%D1%9C%D0%B0%D1%82%D0%B0_%D0%BD%D0%B0_%D0%A0%D0%BE%D0%B1%D0%B5%D0%B2%D1%86%D0%B8_%D0%B2%D0%BE_%D1%86%D0%B5%D0%BB%D0%BE%D1%81%D1%82.jpg/450px-%D0%9A%D1%83%D1%9C%D0%B0%D1%82%D0%B0_%D0%BD%D0%B0_%D0%A0%D0%BE%D0%B1%D0%B5%D0%B2%D1%86%D0%B8_%D0%B2%D0%BE_%D1%86%D0%B5%D0%BB%D0%BE%D1%81%D1%82.jpg
5;40.9131005;20.7415162;Црква Света Петка;црква;3,00;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/St._Petka_Church.jpg/375px-St._Petka_Church.jpg
6;41.1026685;20.8148154;Билјанини Извори;Извор на вода во Охрид, најпознат по легендите поврзани околу него;4,17;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Biljana%27s_Springs_in_Ohrid.jpg/375px-Biljana%27s_Springs_in_Ohrid.jpg
7;40.9964111;20.7972907;Roman Camp Ruins;Реконструирано римско утврдување (каструм) со воени објекти од тоа време, во склоп на наоѓалиштето наречено Градиште;4,02;
8;40.9942972;20.7983138;Bay of Bones Museum;Залив на Коските е залив во Охридското Езеро и археолошко наоѓалиште на праисториска наколна населба од доцнобронзеното и раножелезното време. Сместен е во наоѓалиштето наречено Градиште, меѓу селата Пештани и Трпејца. Местото е наречено „Плоча Миќов Град“ и денес има реконструкција на наколните живеалишта (Музеј на вода „Залив на Коските“) и платформи и посетителски центар со изложбен простор за наодите.;4,42;https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/%D0%9C%D1%83%D0%B7%D0%B5%D1%98_%D0%BD%D0%B0_%D0%B2%D0%BE%D0%B4%D0%B8_-_%D0%97%D0%B0%D0%BB%D0%B8%D0%B2_%D0%BA%D0%BE%D1%81%D1%82%D0%B8%D1%98%D1%83_%D0%BD%D0%B0_%D0%9E%D1%85%D1%80%D0%B8%D0%B4%D1%81%D0%BA%D0%BE%D0%BC_%D1%98%D0%B5%D0%B7%D0%B5%D1%80%D1%83_01.jpg/1280px-%D0%9C%D1%83%D0%B7%D0%B5%D1%98_%D0%BD%D0%B0_%D0%B2%D0%BE%D0%B4%D0%B8_-_%D0%97%D0%B0%D0%BB%D0%B8%D0%B2_%D0%BA%D0%BE%D1%81%D1%82%D0%B8%D1%98%D1%83_%D0%BD%D0%B0_%D0%9E%D1%85%D1%80%D0%B8%D0%B4%D1%81%D0%BA%D0%BE%D0%BC_%D1%98%D0%B5%D0%B7%D0%B5%D1%80%D1%83_01.jpg
9;41.0738678;20.8043628;Св. Стефан;Свети Стефан, попозната како Свети Стефан Панцир е македонска пештерна црква, која се наоѓа во охридското село Шипокно, веднаш над населбата Свети Стефан. Црквата претставува главна манастирска црква на Шипокничкиот манастир.;3,03;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/%D0%A6%D1%80%D0%BA%D0%B2%D0%B0_%E2%80%9E%D0%A1%D0%B2._%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%E2%80%9C_-_%D0%A8%D0%B8%D0%BF%D0%BE%D0%BA%D0%BD%D0%BE_2.jpg/375px-%D0%A6%D1%80%D0%BA%D0%B2%D0%B0_%E2%80%9E%D0%A1%D0%B2._%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%E2%80%9C_-_%D0%A8%D0%B8%D0%BF%D0%BE%D0%BA%D0%BD%D0%BE_2.jpg
10;41.0596796;20.8135106;Sv. Nikola;црква;3,19;
11;41.1132344;20.7907081;Базилика;Ранохристијанска базилика со многу зачувани остатоци во месноста Плаошник, изградена кон крајот на IV или почетокот на V век. Систематско откопување и археолошко истражување на овој објект започнало во 1961 година под раководство на археологот Др. Васил Лахтов.;3,97;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Plao%C5%A1nik_06.jpg/1280px-Plao%C5%A1nik_06.jpg
12;41.1123309;20.7962902;Националната работилница за рачна изработка на хартија “Св.Климент Охридски”;Работилница за рачна изработка на хартија и производи од истата основна во 2002 година, која на туристите им ја презентира постапката на рачна изработка на хартија и начинот на првото печатење на Гутенберговата преса.;3,89;https://lakes.mk/wp-content/uploads/2020/11/nacionalna_paper3.jpg
13;41.0881175;20.8227937;Свети Тројца Архиереи;црква;4,31;
14;41.0592400;20.8033957;Св. Благовештение;црква;4,53;
15;40.9228096;20.7763282;Bunker;бункер;3,38;
16;41.0329016;20.8076745;Елешец;плажа;3,15;
17;41.1150206;20.7949057;Горна Порта;Горна Порта е археолошко наоѓалиште во Охрид од македонско-хеленистичкиот период, кадешто првпат биле откриени најстарите погребувања во регионот, а во еден од гробовите биле пронајдени прочуената златна маска, златната ракавица и уште седумдесетина други златни, сребрени, бронзени, килибарни предмети.;3,58;https://media-cdn.tripadvisor.com/media/photo-s/0f/cf/dd/aa/gorna-porta.jpg
18;41.1111385;20.7886963;Св. Јован Канео;„Свети Јован Богослов Канео“ е црква посветена на Св. Јован Богослов, изградена на карпата над надводната пештерска црква посветена на Воведение на Пресвета Богородица – Пречиста. ;4,73;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Ohrid_-_Church_of_St._John_of_Kanevo.JPG/375px-Ohrid_-_Church_of_St._John_of_Kanevo.JPG
19;41.1146059;20.7938056;Антички театар;Антички театар е римски театар и археолошко наоѓалиште кој е изграден во старомакедонско време, кон крајот на III или почетокот на II век, во стилот на доцниот хеленизам и бил наменет за прикажување на драмски, музички и поетски претстави на љубителите на театарската уметност.;3,95;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/%D0%90%D0%BC%D1%84%D0%B8%D1%82%D0%B5%D0%B0%D1%82%D0%B0%D1%80%2C_%D0%9E%D1%85%D1%80%D0%B8%D0%B4%2C_%D0%BF%D0%B0%D0%BD%D0%BE%D1%80%D0%B0%D0%BC%D0%B0%2C_%D0%BE%D0%B4%D0%BE%D0%B7%D0%B3%D0%BE%D1%80%D0%B0%2C_2014.jpg/360px-%D0%90%D0%BC%D1%84%D0%B8%D1%82%D0%B5%D0%B0%D1%82%D0%B0%D1%80%2C_%D0%9E%D1%85%D1%80%D0%B8%D0%B4%2C_%D0%BF%D0%B0%D0%BD%D0%BE%D1%80%D0%B0%D0%BC%D0%B0%2C_%D0%BE%D0%B4%D0%BE%D0%B7%D0%B3%D0%BE%D1%80%D0%B0%2C_2014.jpg
