id;lat;lon;name;description;review;image
1;40.9180920;20.7720678;Љубаништа;Плажа која е дел од автокамп Љубаништа;4,63;https://i.imgur.com/m3myReO.jpg
2;40.9605173;20.7830495;Трпејца;Плажа во рибарското село Трпејца;4,73;https://i.imgur.com/CrNbLIi.jpg
3;41.0178400;20.8104255;Пештани;Плажа во село Пештани;4,27;https://i.imgur.com/rBjrIKc.jpg
4;41.1123610;20.7961416;Куќа на Робевци;Оригинално изградена во 1825 година од архитектот Тодор Петко, денес куќата на Робевци е споменик на културата под грижа на Заводот за заштита на спомениците на културата и Народен музеј во Охрид и во кој се сместени Археолошкиот музеј, етнолошката поставка, фонд на предмети од семејството Робевци и дела на охридската резбарска школа. ;4,93;https://i.imgur.com/qarzad2.jpg
5;40.9131005;20.7415162;Црква Света Петка;црква;3,00;https://i.imgur.com/6bw0GxG.jpg
6;41.1026685;20.8148154;Билјанини Извори;Извор на вода во Охрид, најпознат по легендите поврзани околу него;4,17;https://i.imgur.com/XJIbHR6.jpg
8;40.9942972;20.7983138;Bay of Bones Museum;Залив на Коските е залив во Охридското Езеро и археолошко наоѓалиште на праисториска наколна населба од доцнобронзеното и раножелезното време. Сместен е во наоѓалиштето наречено Градиште, меѓу селата Пештани и Трпејца. Местото е наречено „Плоча Миќов Град“ и денес има реконструкција на наколните живеалишта (Музеј на вода „Залив на Коските“) и платформи и посетителски центар со изложбен простор за наодите.;4,42;https://i.imgur.com/DbTZD64.jpg
9;41.0738678;20.8043628;Св. Стефан;Свети Стефан, попозната како Свети Стефан Панцир е македонска пештерна црква, која се наоѓа во охридското село Шипокно, веднаш над населбата Свети Стефан. Црквата претставува главна манастирска црква на Шипокничкиот манастир.;3,03;https://i.imgur.com/TriOdJv.jpg
10;41.0596796;20.8135106;Sv. Nikola;црква;3,19;https://i.imgur.com/7J2B45N.jpg
11;41.1132344;20.7907081;Базилика;Ранохристијанска базилика со многу зачувани остатоци во месноста Плаошник, изградена кон крајот на IV или почетокот на V век. Систематско откопување и археолошко истражување на овој објект започнало во 1961 година под раководство на археологот Др. Васил Лахтов.;3,97;https://i.imgur.com/3N6MJF9.jpg
12;41.1123309;20.7962902;Националната работилница за рачна изработка на хартија “Св.Климент Охридски”;Работилница за рачна изработка на хартија и производи од истата основна во 2002 година, која на туристите им ја презентира постапката на рачна изработка на хартија и начинот на првото печатење на Гутенберговата преса.;3,89;https://i.imgur.com/czQVFZy.jpg
13;41.0881175;20.8227937;Свети Тројца Архиереи;црква;4,31;
14;41.0592400;20.8033957;Св. Благовештение;црква;4,53;
16;41.0329016;20.8076745;Елешец;плажа;3,15;
17;41.1150206;20.7949057;Горна Порта;Горна Порта е археолошко наоѓалиште во Охрид од македонско-хеленистичкиот период, кадешто првпат биле откриени најстарите погребувања во регионот, а во еден од гробовите биле пронајдени прочуената златна маска, златната ракавица и уште седумдесетина други златни, сребрени, бронзени, килибарни предмети.;3,58;https://i.imgur.com/s29k6Ea.jpg
18;41.1111385;20.7886963;Св. Јован Канео;„Свети Јован Богослов Канео“ е црква посветена на Св. Јован Богослов, изградена на карпата над надводната пештерска црква посветена на Воведение на Пресвета Богородица – Пречиста. ;4,73;https://i.imgur.com/uVA0QCT.jpg
19;41.1146059;20.7938056;Антички театар;Антички театар е римски театар и археолошко наоѓалиште кој е изграден во старомакедонско време, кон крајот на III или почетокот на II век, во стилот на доцниот хеленизам и бил наменет за прикажување на драмски, музички и поетски претстави на љубителите на театарската уметност.;3,95;https://i.imgur.com/jqIXz10.jpg
20;41.1122420;20.7958365;Спомен куќа на Христо Узунов;"Спомен-куќа на Христо Узунов е родната куќа на познатиот преродбеник Христо Узунов изградена во средината на XIX век. Во предилинденскиот и поилинденскиот период куќата била централно револуционерно сврталиште. Во 1996 година куќата е повторно прогласена за споменик на културата и е отворена за посетители со постојаната изложба ""Национално-ослободителното движење во Охрид и Охридско"", со документи и предмети поврзани со Илинденскиот период и воопшто со народноослободителното движење во овој крај, а реконструирана е и една спомен-соба посветена на револуционерот.";4,17;https://i.imgur.com/cT7mEvF.jpg
21;41.1132104;20.7915183;Плаошник;Плаошник е исклучителен археолошки комплекс со културни слоеви од праисторијата, антиката и средниот век. Пронајдени се неколку големи ранохристијански базилики, како и остатоците од црквата Свети Пантелејмон која ја изградил и во која работел Свети Климент Охридски.;3,56;https://i.imgur.com/z4mxBnH.jpg
22;41.0468758;20.8020047;Lagadin;плажа;4,81;https://i.imgur.com/rkrwggw.jpg
23;41.1152832;20.7910566;Самуилова тврдина;Самоиловата тврдина е средновековна тврдина во градот Охрид, првично изградена од кралот Филип II Македонски, а подоцна наречена по средновековниот цар Самоил. Тврдината и денес го претставува највисокиот дел на Охрид, кој се издига 100 метри над нивото на Охридското Езеро;3,93;https://i.imgur.com/TYjPRhx.jpg
24;41.1124204;20.7909176;Св. Климент и Пантелејмон;Црквата Свети Климент и Пантелејмон се наоѓа во месноста Плаошник во стариот дел на Охрид. Црквата е изградена и осветена во 2002. година. Црквата Свети Климент и Пантелејмон е така наречена во чест на Свети Климент Охридски кој првобитно го изградил храмот на ова место и на Свети Пантелејмон на кого првобитно била посветена.;3,56;https://i.imgur.com/B0KNwb0.jpg
25;40.9140371;20.7406704;Манастир „Свети Наум“;Манастирот Св. Наум е изграден на висока карпа на најјужната точка на охридското езеро во месност со ретка природна убавина. Подигнувањето на овој манастир е поврзано со името на Св. Наум, Климентовиот соработник. Св. Наум, пред крајот на својот живот, го основал манастирот Св. Архангел и во 910 година бил погребан во него. Оваа црква по својот првобитен облик била речиси идентична на црквата „Св Пантелејмон“ во Охрид. Некаде помеѓу X и XIII век, Наумовата црква била потполно разурната и некаде околу XVI век, на нејзините темели била подигната сегашната црква.;3,74;https://i.imgur.com/3Ow0tL1.jpg
26;41.1120961;20.7941733;Црква „Св. Софија“;Света Софија е катедрален црковен храм во стариот дел на градот Охрид. Црквата е подигната по големата мисија на Св. Кирил и Методиј врз темелите на стара сакрална градба, а денешната црква се споменува дека била изградена (или обновена) за време на архиепископот Лав, кој во времето од 1035 до 1056 година се наоѓал на престолот на црквата. ;3,99;https://i.imgur.com/v6JOto7.jpg
27;41.0015571;20.8038176;Оревче;Плажа во близина на Градиште;4,34;
28;41.0768813;20.8005055;Metropolis Beach;плажа;3,02;
